"_id","first_name","last_name","GP","Min_per","stops","oreb","dreb","treb","ast","stl","blk","pts"
"65d5e15b016cc2be02ff63c7","Devin","White","18","27.4","85.5201","1.6111","3.3333","4.9444","0.8889","1.0556","1.6667","8.8333"
"65d5e15b016cc2be02ff63d3","Decensae","White","10","13.7","28.4076","1","1.4","2.4","0.6","0.7","0.1","3.4"
"65d5e15b016cc2be02ff6599","Alex","White","30","26.7","71.3579","0.9333","2.1","3.0333","0.2","0.3667","0.2","2.0333"
"65d5e15c016cc2be02ff670e","Curtis","White","31","61.9","126.449","0.4839","2.2581","2.7419","2.129","0.7097","0.0968","5.9032"
"65d5e15c016cc2be02ff6734","Billy","White","32","50.4","128.474","1.4688","2.0938","3.5625","0.7812","0.9375","0.7812","8.4375"
"65d5e15c016cc2be02ff69f2","Ryan","White","25","35.4","77.8853","0.68","1.4","2.08","1.96","0.92","0.04","3.72"
"65d5e15c016cc2be02ff6a3c","Brandon","White","16","7.6","12.7674","0.125","0.375","0.5","0.4375","0.0625","0","0.5"
"65d5e15c016cc2be02ff6b9d","Terrico","White","31","74.6","146.215","0.8065","2.5806","3.3871","2.3226","0.8387","0.2581","13.7097"
"65d5e15c016cc2be02ff6bd9","Evan","White","3","0.6","1.37948","0","0.6667","0.6667","0","0","0","0"
"65d5e15c016cc2be02ff6c09","Ivory","White","28","51","114.926","1.2857","2.5357","3.8214","0.8929","0.75","0.5","4.4643"
"65d5e15c016cc2be02ff70af","Mike","White","16","7.1","16.565","0.6875","0.4375","1.125","0","0.1875","0.3125","0.625"
"65d5e15c016cc2be02ff7232","Jamal","White","5","0.7","2.98601","0.2","0.6","0.8","0","0.2","0","0.4"
"65d5e15c016cc2be02ff7288","Kore","White","15","4.8","7.90598","0.0667","0.4667","0.5333","0","0","0","0.2667"
"65d5e15c016cc2be02ff73e4","Kevin","White","32","85.1","180.249","0.375","2.7188","3.0938","5.375","1.3438","0.0938","9.4688"
"65d5e15c016cc2be02ff8012","Chad","White","7","5.3","8.49154","0.1429","0.4286","0.5714","0.2857","0.1429","0.1429","1.5714"
"65d5e15c016cc2be02ff8139","Darren","White","33","68.1","138.328","1.7576","2.2121","3.9697","0.9394","0.7879","0.2727","8.8485"
"65d5e15c016cc2be02ff82ab","Tyrone","White","16","5.1","9.19052","0.1875","0.375","0.5625","0.375","0","0","0.5625"
"65d5e15c016cc2be02ff848d","Charles","White","27","43.7","75.1063","1.1111","1.1111","2.2222","1.1852","0.5556","0.037","4.6296"
"65d5e15c016cc2be02ff85ad","Devon","White","28","30.7","72.0749","1.5357","1.7143","3.25","0.3214","0.4286","0.7143","2.9286"
"65d5e15d016cc2be02ff910a","Michael","White","3","0.6","1.49679","0.3333","0.6667","1","0","0","0","0"
"65d5e15d016cc2be02ff9476","Okaro","White","34","41","107.432","1.4412","1.7059","3.1471","0.4706","0.6765","0.4412","6.5588"
"65d5e15d016cc2be02ff94a7","Devonta","White","20","24.9","49.8926","0.45","1","1.45","2.35","0.7","0.05","5.2"
"65d5e15d016cc2be02ffa1ca","Ronrico","White","29","31.7","63.8774","0.4138","1","1.4138","0.5517","0.4138","0","4.6897"
"65d5e15d016cc2be02ffa35a","Stilman","White","34","12.9","34.0459","0.0294","0.3235","0.3529","0.9412","0.2353","0","0.8529"
"65d5e15d016cc2be02ffa59b","LaDarius","White","22","22.4","52.7019","0.5","1.2273","1.7273","0.9545","0.5455","0.1364","5.4091"
"65d5e15d016cc2be02ffa5b9","Royce","White","34","78.8","241.839","2.5","6.7941","9.2941","5","1.1765","0.9412","13.4118"
"65d5e15d016cc2be02ffa62c","Aaron","White","35","59.6","161.789","2.0857","3.6","5.6857","0.8857","0.8857","0.6571","11.1143"
"65d5e15d016cc2be02ffa8c6","Grant","White","30","35.4","55.8296","0.3","0.8333","1.1333","0.9333","0.3","0","3.7333"
"65d5e15d016cc2be02ffa98a","Jake","White","20","10.8","26.5849","0.7","1.5","2.2","0.15","0.05","0","2.1"
"65d5e15d016cc2be02ffa998","James","White","2","0.4","0.515584","0.5","0","0.5","0","0","0","1"
"65d5e15d016cc2be02ffb204","Ladarius","White","36","51.8","132.767","0.4444","2.5278","2.9722","1.1667","0.5556","0.25","6.4444"
"65d5e15d016cc2be02ffb425","Jared","White","23","14.1","24.9708","0.087","0.6087","0.6957","0.7826","0.1304","0","2.1739"
"65d5e15d016cc2be02ffb46c","Tyler","White","24","43.6","65.3844","0.3333","1.3333","1.6667","0.875","0.4583","0.0833","6.0417"
"65d5e15d016cc2be02ffb5d5","Jeff","White","27","49.7","95.7857","0.5556","1.8148","2.3704","2.6296","0.6667","0.1111","5.1481"
"65d5e15d016cc2be02ffb6e3","Brison","White","28","47.1","107.176","0.5357","1.1429","1.6786","2.0357","1.5714","0.1429","7.8214"
"65d5e15d016cc2be02ffb8db","Khiry","White","30","47.8","111.044","0.5333","1.4333","1.9667","1.0667","1.2","0.1333","2.7333"
"65d5e15d016cc2be02ffb9cc","Anthony","White","26","27.1","58.1533","0.6538","1.0769","1.7308","0.9615","0.5769","0.2308","2"
"65d5e15d016cc2be02ffbaff","Christian","White","28","25.3","55.5677","0.1071","0.75","0.8571","1","0.5357","0.0357","3.4643"
"65d5e15d016cc2be02ffbbaa","RJ","White","6","2.5","8.03215","0.5","1.5","2","0.1667","0.1667","0.3333","1.3333"
"65d5e15e016cc2be02ffc62e","Brian","White","29","66.2","122.463","1.5172","3.5172","5.0345","0.1724","0.2069","0.7931","10.5517"
"65d5e15e016cc2be02ffc764","Marquez","White","6","0.7","1.31785","0","0.1667","0.1667","0","0","0","0.5"
"65d5e15e016cc2be02ffc779","Marcus","White","10","7.5","10.8192","0","0.2","0.2","1","0.2","0","0.5"
"65d5e15e016cc2be02ffc88e","Jalen","White","21","42.7","73.2977","0.8095","1.8095","2.619","2.4762","0.6667","0.1429","8"
"65d5e15e016cc2be02ffc8fb","Marcel","White","28","40.4","71.0974","0.7857","1.5357","2.3214","0.2857","0.4643","0.2857","5.0714"
"65d5e15e016cc2be02ffcb2c","Caleb","White","30","81.3","124.628","0.8333","2.3","3.1333","1.4","0.3667","0.2","12.3333"
"65d5e15e016cc2be02ffcb53","Maurice","White","38","31.1","87.5871","1.0526","1.3684","2.4211","0.5526","0.5263","0.1579","4.5526"
"65d5e15e016cc2be02ffcdcd","Joshua","White","9","1.8","5.00382","0.1111","0.7778","0.8889","0.1111","0.1111","0","0.1111"
"65d5e15e016cc2be02ffcdd6","Skyler","White","17","2","5.51239","0.0588","0.2353","0.2941","0.0588","0.0588","0.0588","0.8235"
